id,name,size,proof,abv,spirit_type,brand_id,popularity,image_url,avg_msrp,fair_price,shelf_price,total_score,wishlist_count,vote_count,bar_count,ranking
16078,Russell's Reserve 13 Years Bourbon,750,114.8,57.4,Bourbon,496.0,100064.0,images/16078.jpg,109.97,246.23,264.99,7586,2297,2707,2582,41
1074,Early Times Bottled In Bond,1000,100.0,50.0,Bourbon,348.0,100054.0,images/1074.jpg,24.01,36.14,22.57,7542,941,1821,4780,42
1282,Willett Family Estate Small Batch Rye 4 Year,750,110.0,55.0,Rye,2986.0,100049.0,images/1282.jpg,60.58,89.01,93.69,7534,595,2011,4928,43
873,Weller Special Reserve,1750,90.0,45.0,Bourbon,156.0,100039.0,images/873.jpg,53.28,90.38,178.73,7487,700,2243,4544,44
1629,Michter's US1 Kentucky Straight Bourbon,750,91.0,45.5,Bourbon,405.0,100061.0,images/1629.jpg,41.82,72.44,63.99,7458,774,1470,5214,45
3574,1792 Bottled In Bond,750,100.0,50.0,Bourbon,42.0,100053.0,images/3574.jpg,41.64,84.64,63.84,7312,1002,1554,4756,46
1510,Booker's Bourbon,750,129.2,64.6,Bourbon,647.0,100031.0,images/1510.jpg,86.86,133.7,108.69,7250,1728,2217,3305,47
3300,Pappy Van Winkle 15 Year Family Reserve,750,,53.5,Bourbon,370.0,100067.0,images/3300.jpg,131.64,709.41,1617.37,7110,3453,2592,1065,48
33209,Russell’s Reserve 15 Year,750,117.2,58.6,Bourbon,496.0,100187.0,images/33209.jpg,249.99,362.17,398.31,6897,3960,1781,1156,49
2879,1792 Sweet Wheat Bourbon,750,91.2,45.6,Bourbon,42.0,100063.0,images/2879.jpg,37.34,87.85,77.49,6813,1776,1803,3234,50
3819,1792 Single Barrel,750,98.6,49.3,Bourbon,42.0,100080.0,images/3819.jpg,41.35,68.0,52.99,6683,1035,1467,4181,51
21319,Traveller Whiskey,750,90.0,45.0,Bourbon,4873.0,100072.0,images/21319.jpg,39.97,48.84,37.69,6641,309,1868,4464,52
3660,Woodford Reserve Bourbon,750,90.4,45.2,Bourbon,2004.0,100058.0,images/3660.jpg,36.62,54.2,32.66,6608,685,1498,4425,53
4739,Colonel E.H. Taylor Barrel Proof - Batch 6,750,128.1,64.05,Bourbon,210.0,1800.0,images/4739.jpg,70.78,366.21,422.99,6594,2977,2146,1471,54
4245,Larceny Barrel Proof,750,128.0,64.0,Bourbon,587.0,1800.0,images/4245.jpg,52.74,94.49,113.47,6537,1092,1668,3777,55
4448,Weller Single Barrel,750,,48.5,Bourbon,156.0,100087.0,images/4448.jpg,55.95,252.98,748.99,6456,2946,2069,1441,56
477,George T. Stagg 2009 Release,750,141.4,70.7,Bourbon,352.0,1900.0,images/477.jpg,99.98,843.74,974.99,6424,3283,2363,778,57
4762,Jack Daniel's Single Barrel Barrel Proof,750,128.0,64.0,Whiskey,231.0,100063.0,images/4762.jpg,64.18,86.27,74.99,6225,779,1425,4021,58
4255,Blade and Bow Bourbon,750,91.0,45.5,Bourbon,674.0,100053.0,images/4255.jpg,48.82,72.02,50.79,6221,531,1545,4145,59
620,Buffalo Trace,1750,90.0,45.0,Bourbon,245.0,100053.0,images/620.jpg,49.54,82.63,69.99,5928,365,1537,4026,60
4373,Four Roses Small Batch Select,750,,52.0,Bourbon,148.0,100044.0,images/4373.jpg,59.98,77.21,72.3,5865,633,1518,3714,61
3671,"E.H. Taylor, Jr. Straight Rye",750,,50.0,Rye,210.0,100111.0,images/3671.jpg,79.99,171.45,197.89,5810,1091,1567,3152,62
4708,Wild Turkey 101,750,101.0,50.5,Bourbon,191.0,100040.0,images/4708.jpg,25.4,39.44,27.85,5764,726,1553,3485,63
519,Pappy Van Winkle 23 Year Family Reserve,750,,47.8,Bourbon,370.0,100046.0,images/519.jpg,321.64,958.61,4899.97,5689,2453,2982,254,64
15947,Smoke Wagon Small Batch Bourbon,750,,50.0,Bourbon,2808.0,1800.0,images/15947.jpg,45.99,76.79,62.78,5648,862,1449,3337,65
15966,Knob Creek 9 Year,750,100.0,50.0,Bourbon,189.0,100050.0,images/15966.jpg,34.99,50.86,37.88,5436,666,1369,3401,66
13668,Maker's Mark 101,750,101.0,50.5,Bourbon,333.0,100027.0,images/13668.jpg,39.97,66.69,49.99,5428,786,1733,2909,67
1702,High West A Midwinter Night's Dram Act 4 Scene 5,750,98.6,49.3,Rye,350.0,1980.0,images/1702.jpg,105.97,212.92,192.89,5360,1519,2092,1749,68
3959,William Larue Weller - 2009,750,134.8,67.4,Bourbon,156.0,1820.0,images/3959.jpg,104.14,563.81,1296.96,5255,2829,1917,509,69
4002,Michter's 10 Year Single Barrel Bourbon 2020 Bottling,750,,47.2,Bourbon,405.0,100049.0,images/4002.jpg,189.99,346.85,437.24,5190,1972,1519,1699,70
987,Widow Jane 10 Year Straight Bourbon,750,91.0,45.5,Bourbon,295.0,100029.0,images/987.jpg,59.99,100.87,89.99,5119,792,1328,2999,71
13584,Jack Daniel's Single Barrel Rye Barrel Proof,750,,65.15,Rye,231.0,100035.0,images/13584.jpg,67.47,99.92,412.99,5059,720,1138,3201,72
3694,"Van Winkle 12 Year Special Reserve Lot ""B""",750,,45.2,Bourbon,370.0,100061.0,images/3694.jpg,799.99,736.03,1026.64,5024,1084,1857,2083,73
1641,Wild Turkey Kentucky Spirit Single Barrel,750,101.0,50.5,Bourbon,191.0,100055.0,images/1641.jpg,57.2,92.34,68.93,4878,515,1089,3274,74
17951,Penelope Architect,750,104.0,52.0,Bourbon,2817.0,100030.0,images/17951.jpg,62.48,87.86,66.0,4794,404,1100,3290,75
144,Elijah Craig Barrel Proof Batch A119,750,134.2,67.1,Bourbon,2.0,1980.0,images/144.jpg,69.98,104.95,91.89,4765,1205,1847,1713,76
3773,Four Roses Small Batch,750,90.0,45.0,Bourbon,148.0,100037.0,images/3773.jpg,33.42,49.36,36.56,4736,493,1162,3081,77
1269,Maker's Mark 46,750,94.0,47.0,Bourbon,333.0,100027.0,images/1269.jpg,25.99,42.09,36.66,4699,595,1137,2967,78
18530,Knob Creek 18 Year Limited Edition,750,100.0,50.0,Bourbon,189.0,100060.0,images/18530.jpg,163.31,227.89,254.14,4675,559,1411,2705,79
2755,Maker's Mark Bourbon,750,90.0,45.0,Bourbon,333.0,100064.0,images/2755.jpg,21.99,37.87,27.99,4663,424,1108,3131,80
17318,Jack Daniel's 10 Year,750,97.0,48.5,Whiskey,231.0,100039.0,images/17318.jpg,84.95,179.31,274.97,4620,750,1344,2526,81
3651,Eagle Rare 10 Year,1750,90.0,45.0,Bourbon,542.0,100059.0,images/3651.jpg,60.75,124.03,79.95,4605,534,1413,2658,82
14150,1792 Aged Twelve Years,750,96.6,48.3,Bourbon,42.0,100064.0,images/14150.jpg,51.46,96.99,57.64,4503,902,1154,2447,83
3731,Michter's US1 Toasted Sour Mash,750,1.0,0.5,Bourbon,405.0,1960.0,images/3731.jpg,45.7,65.06,57.98,4433,1128,799,2506,84
3674,Bulleit Bourbon,750,90.0,45.0,Bourbon,415.0,100058.0,images/3674.jpg,28.36,44.68,35.29,4365,561,1359,2445,85
20691,Elijah Craig Barrel Proof C923,750,133.0,66.5,Bourbon,2.0,100033.0,images/20691.jpg,72.48,146.32,81.57,4296,750,1106,2440,86
1217,Joseph Magnus Cigar Blend Bourbon,750,116.0,58.0,Bourbon,443.0,100037.0,images/1217.jpg,173.33,261.75,299.98,4292,740,1467,2085,87
1966,Jack Daniel's Sinatra Select,1000,90.0,45.0,Whiskey,231.0,100030.0,images/1966.jpg,156.13,238.67,189.19,4235,530,1612,2093,88
20783,Larceny Barrel Proof Batch C923,750,,63.2,Bourbon,587.0,100028.0,images/20783.jpg,59.99,104.33,75.26,4215,546,1429,2240,89
17248,Benchmark Full Proof,750,125.0,62.5,Bourbon,3330.0,100037.0,images/17248.jpg,21.47,33.47,25.99,4135,411,915,2809,90
21356,Old Forester 1924 10 Year,750,100.0,50.0,Bourbon,152.0,100064.0,images/21356.jpg,114.97,183.86,112.5,4109,853,1206,2050,91
3775,Yellowstone Select,750,93.0,46.5,Bourbon,272.0,1700.0,images/3775.jpg,37.08,54.12,49.99,4068,382,1167,2519,92
46254,Wild Turkey Jimmy Russell 70th Anniversary,750,101.0,50.5,Bourbon,191.0,100158.0,images/46254.jpg,49.99,75.72,69.82,3994,704,898,2392,93
2969,Old Ezra 7 Year Barrel Strength,750,117.0,58.5,Bourbon,850.0,1700.0,images/2969.jpg,49.24,106.38,78.99,3986,533,1200,2253,94
4299,Jack Daniel's Single Barrel Select,750,94.0,47.0,Whiskey,231.0,100044.0,images/4299.jpg,48.14,76.97,59.42,3965,290,932,2743,95
1046,Double Eagle Very Rare,750,90.0,45.0,Bourbon,542.0,1996.0,images/1046.jpg,1944.94,3048.26,12138.3,3864,1476,2324,64,96
17358,Jack Daniel's Coy Hill Single Barrel,750,148.0,74.0,Whiskey,231.0,1996.0,images/17358.jpg,69.99,276.99,572.89,3855,1352,1960,543,97
16960,Basil Hayden Toast,750,,40.0,Bourbon,330.0,600.0,images/16960.jpg,51.63,71.49,58.94,3823,350,558,2915,98
2533,Knob Creek 9 Year Single Barrel Reserve,750,120.0,60.0,Bourbon,189.0,100028.0,images/2533.jpg,55.1,85.23,67.62,3789,304,942,2543,99
803,Redwood Empire Pipe Dream,750,90.0,45.0,Bourbon,445.0,100043.0,images/803.jpg,40.64,50.33,45.91,3756,371,922,2463,100
3755,Angel's Envy Rye,750,100.0,50.0,Rye,96.0,100.0,images/3755.jpg,95.69,125.56,110.0,3749,390,1058,2301,101
19547,Jack Daniel’s 12 Year Tennessee Whiskey #1,750,107.0,53.5,Whiskey,231.0,100047.0,images/19547.jpg,82.48,188.35,359.0,3658,874,1173,1611,102
16681,Blanton's Black,750,80.0,40.0,Bourbon,10.0,100033.0,images/16681.jpg,199.99,294.28,224.73,3654,1729,848,1077,103
2706,Elijah Craig Barrel Proof Batch B519,750,125.0,62.5,Bourbon,2.0,1200.0,images/2706.jpg,62.48,101.64,89.99,3597,794,1614,1189,104
4776,Pappy Van Winkle 20 Year Family Reserve,750,,45.2,Bourbon,370.0,1800.0,images/4776.jpg,218.31,1072.05,2399.9,3557,2117,1073,367,105
1708,Bowman Brothers Small Batch,750,90.0,45.0,Bourbon,687.0,100049.0,images/1708.jpg,31.35,55.59,33.58,3532,283,877,2372,106
2849,Hancock's President's Reserve Bourbon,750,88.9,44.45,Bourbon,2320.0,100043.0,images/2849.jpg,51.64,128.09,189.89,3528,654,1063,1811,107
2769,Old Forester 1897 Bottled In Bond,750,100.0,50.0,Bourbon,152.0,100026.0,images/2769.jpg,46.99,69.06,57.99,3515,622,836,2057,108
5194,Michter's US1 Kentucky Straight Rye,750,84.8,42.4,Rye,405.0,200.0,images/5194.jpg,43.01,70.36,54.99,3470,294,663,2513,109
3317,Michter's Limited Release Toasted Barrel Bourbon,750,,45.7,Bourbon,405.0,100049.0,images/3317.jpg,70.66,205.5,299.99,3446,1544,913,989,110
15948,Smoke Wagon Bourbon,750,92.0,46.0,Bourbon,2808.0,1780.0,images/15948.jpg,29.99,46.7,34.99,3444,465,819,2160,111
4948,Thomas H Handy,750,129.5,64.75,Rye,3684.0,100044.0,images/4948.jpg,103.54,530.79,700.0,3440,1047,1162,1231,112
2353,Knob Creek 15 Year Batch KC001,750,,50.0,Bourbon,189.0,1600.0,images/2353.jpg,113.3,174.28,119.99,3432,916,1036,1480,113
3958,Basil Hayden's Bourbon,750,80.0,40.0,Bourbon,330.0,100027.0,images/3958.jpg,38.95,52.11,44.13,3427,249,783,2395,114
4450,Buffalo Trace,1000,90.0,45.0,Bourbon,245.0,100050.0,images/4450.jpg,31.77,58.32,39.0,3427,185,821,2421,114
17176,Peerless Double Oak Bourbon,750,109.0,54.5,Bourbon,163.0,100057.0,images/17176.jpg,88.97,120.88,148.49,3406,679,813,1914,116
7140,Buffalo Trace Bourbon Cream,750,30.0,15.0,Liqueurs,245.0,200.0,images/7140.jpg,20.97,36.72,28.99,3357,140,729,2488,117
14409,Widow Jane Decadence,750,91.0,45.5,Whiskey,295.0,100062.0,images/14409.jpg,84.97,127.96,146.31,3342,438,862,2042,118
1462,Larceny,750,92.0,46.0,Bourbon,587.0,200.0,images/1462.jpg,25.81,39.24,31.99,3324,275,863,2186,119
4576,Michter's Single Barrel Rye 10 Year,750,93.0,46.5,Rye,405.0,100038.0,images/4576.jpg,158.6,287.59,275.99,3292,663,1053,1576,120
429,Old Forester Statesman,750,95.0,47.5,Bourbon,152.0,100029.0,images/429.jpg,52.87,81.93,59.49,3261,342,848,2071,121
1663,Redbreast 12 Year Old Single Pot Still,750,80.0,40.0,Irish Whiskey,646.0,1920.0,images/1663.jpg,66.08,80.59,71.77,3233,511,878,1844,122
21689,Crown Royal Blackberry,750,70.0,35.0,Canadian Whisky,182.0,100067.0,images/21689.jpg,33.95,43.69,36.67,3204,94,734,2376,123
16484,Calumet Farm 15 Year Single Rack Black,750,105.0,52.5,Bourbon,769.0,1960.0,images/16484.jpg,129.98,158.66,149.99,3176,580,829,1767,124
4598,Weller Antique 107,1750,107.0,53.5,Bourbon,156.0,100058.0,images/4598.jpg,99.99,165.4,299.99,3168,782,1145,1241,125
15985,George Dickel 15 Year Single Barrel,750,105.0,52.5,Whiskey,486.0,1996.0,images/15985.jpg,59.97,97.54,100.4,3114,441,1150,1523,126
17021,Little Book Chapter 5: The Invitation,750,117.0,58.5,Bourbon,823.0,1998.0,images/17021.jpg,124.97,188.56,209.89,3102,882,1188,1032,127
4486,John J. Bowman Single Barrel 10 Year,750,100.0,50.0,Bourbon,6232.0,200.0,images/4486.jpg,49.15,80.71,55.04,3084,753,743,1588,128
1636,Russell’s Reserve Private Barrel Selection Single Barrel,750,110.0,55.0,Bourbon,496.0,100074.0,images/1636.jpg,56.99,104.53,63.83,3006,442,538,2026,129
220,Noah's Mill,750,,57.15,Bourbon,8577.0,200.0,images/220.jpg,63.83,93.77,71.49,2967,273,762,1932,130
3941,Michter's US1 Unblended American Whiskey,750,83.0,41.5,Bourbon,405.0,200.0,images/3941.jpg,44.98,68.58,54.66,2905,294,679,1932,131
4593,Kentucky Owl Confiscated,750,,48.2,Bourbon,779.0,100.0,images/4593.jpg,124.97,217.88,159.12,2884,296,929,1659,132
1924,Old Tub,750,100.0,50.0,Bourbon,3559.0,1999.0,images/1924.jpg,22.23,35.33,29.99,2881,276,950,1655,133
2594,Eagle Rare 17 Year,750,90.0,45.0,Bourbon,542.0,100.0,images/2594.jpg,103.54,681.17,1998.89,2833,1487,990,356,134
14147,Blanton's,375,93.0,46.5,Bourbon,10.0,,images/14147.jpg,31.99,53.88,84.99,2814,164,693,1957,135
19806,John J. Bowman Single Barrel Limited Edition,750,100.0,50.0,Bourbon,3248.0,100060.0,images/19806.jpg,50.0,85.75,54.99,2774,421,554,1799,136
2476,Old Grand Dad Bonded,750,,50.0,Bourbon,793.0,100028.0,images/2476.jpg,23.66,36.25,27.49,2773,279,721,1773,137
19971,Penelope 5 Year Toasted Barrel,750,,50.0,Bourbon,2817.0,100058.0,images/19971.jpg,69.98,93.12,58.9,2754,270,616,1868,138
1800,Bomberger Small Batch Straight Bourbon,750,108.0,54.0,Bourbon,703.0,100033.0,images/1800.jpg,91.98,166.94,277.11,2710,586,820,1304,139
19503,Ben Holladay Soft Red Wheat Bottled in Bond,750,100.0,50.0,Bourbon,3647.0,100050.0,images/19503.jpg,59.97,77.74,59.99,2709,285,633,1791,140
38465,Maker's Mark Wood Finish Series The Heart Release 2024,750,111.7,55.85,Bourbon,333.0,100077.0,images/38465.jpg,75.0,108.96,146.15,2695,274,523,1898,141
495,Maker's Mark Cask Strength,750,113.2,56.6,Bourbon,333.0,200.0,images/495.jpg,49.73,65.34,55.7,2669,301,606,1762,142
19526,Maker's Mark 2023 Wood Finishing Series BEP,750,110.0,55.0,Bourbon,333.0,200.0,images/19526.jpg,67.47,117.43,64.99,2667,93,675,1899,143
16613,Barrell Seagrass Rye Whiskey,750,118.4,59.2,Rye,146.0,200.0,images/16613.jpg,87.46,94.18,90.06,2659,263,755,1641,144
3860,Jack Daniel's,750,80.0,40.0,Whiskey,231.0,100039.0,images/3860.jpg,24.21,35.04,27.29,2658,196,1005,1457,145
966,New Riff Bourbon Single Barrel,750,98.0,49.0,Bourbon,254.0,100029.0,images/966.jpg,52.49,81.63,57.6,2655,342,585,1728,146
3249,Wild Turkey Rare Breed Barrel Proof Rye,750,116.0,58.0,Rye,191.0,200.0,images/3249.jpg,57.48,81.77,74.89,2634,311,683,1640,147
1133,Uncle Nearest 1856,750,100.0,50.0,Whiskey,567.0,1996.0,images/1133.jpg,55.88,88.5,64.29,2633,384,848,1401,148
18070,Blood Oath Pact No. 8,750,,49.3,Bourbon,849.0,1980.0,images/18070.jpg,124.97,222.55,280.85,2623,438,889,1296,149
18184,Jack Daniel's Bonded,700,100.0,50.0,Whiskey,231.0,,images/18184.jpg,33.97,47.5,32.64,2598,104,650,1844,150
17898,Weller Special Reserve,1000,90.0,45.0,Bourbon,156.0,100039.0,images/17898.jpg,29.99,71.65,79.45,2587,229,714,1644,151
2291,Wild Turkey Longbranch 8 Year,750,86.0,43.0,Bourbon,191.0,200.0,images/2291.jpg,37.54,61.02,41.8,2584,229,648,1707,152
21106,Stagg - 23C,750,125.0,62.5,Bourbon,3640.0,100042.0,images/21106.jpg,59.99,197.99,175.83,2532,499,607,1426,153
2831,New Riff Bourbon,750,100.0,50.0,Bourbon,254.0,1700.0,images/2831.jpg,39.98,62.23,54.99,2512,474,631,1407,154
633,Michter's Barrel Strength Rye Whiskey,750,111.8,55.9,Rye,405.0,100025.0,images/633.jpg,79.02,204.81,215.39,2490,608,771,1111,155
2549,Crown Royal Peach,750,70.0,35.0,Canadian Whisky,182.0,100027.0,images/2549.jpg,29.61,45.5,39.99,2477,115,516,1846,156
3997,Redwood Empire Lost Monarch,750,90.0,45.0,Whiskey,445.0,200.0,images/3997.jpg,40.97,57.26,52.89,2471,263,588,1620,157
18508,Willett Wheated 8 Year,750,108.0,54.0,Bourbon,2986.0,100037.0,images/18508.jpg,249.99,339.41,270.58,2463,324,998,1141,158
41273,Stagg Batch 24A,750,,63.8,Bourbon,3640.0,100046.0,images/41273.jpg,65.0,172.98,207.47,2462,624,646,1192,159
17450,Benchmark Single Barrel,750,95.0,47.5,Bourbon,3330.0,100031.0,images/17450.jpg,24.97,36.69,31.89,2460,232,524,1704,160
21242,George T. Stagg 2023 Release,750,,67.5,Bourbon,352.0,100049.0,images/21242.jpg,124.97,622.6,1062.5,2356,718,699,939,161
893,Old Forester 86 Proof,750,,43.0,Bourbon,152.0,100031.0,images/893.jpg,21.25,34.71,22.99,2343,346,889,1108,162
16682,Blanton's Red,750,93.0,46.5,Bourbon,10.0,100033.0,images/16682.jpg,199.99,294.86,349.59,2317,1032,492,793,164
17397,Old Fitzgerald 8 Year - Spring 2021,750,100.0,50.0,Bourbon,234.0,1600.0,images/17397.jpg,84.99,191.83,234.55,2302,1467,602,233,165
17632,Elijah Craig Barrel Proof Batch A122,750,121.0,60.5,Bourbon,2.0,1200.0,images/17632.jpg,69.97,127.1,90.02,2292,214,602,1476,166
17435,Knob Creek 12 Year Cask Strength ,750,121.0,60.5,Bourbon,189.0,100036.0,images/17435.jpg,94.79,114.59,104.27,2265,720,683,862,167
435,Crown Royal,750,80.0,40.0,Canadian Whisky,182.0,1996.0,images/435.jpg,25.72,43.8,30.99,2234,162,795,1277,168
17247,Benchmark Bonded,750,100.0,50.0,Bourbon,3330.0,100029.0,images/17247.jpg,19.97,27.3,23.19,2231,226,466,1539,169
15984,Old Forester 150th Anniversary,750,127.0,63.5,Bourbon,152.0,1998.0,images/15984.jpg,150.0,270.36,512.47,2230,1020,904,306,170
670,Coopers' Craft Barrel Reserve,750,100.0,50.0,Bourbon,2494.0,100045.0,images/670.jpg,32.22,44.66,40.03,2219,433,246,1540,171
1579,Basil Hayden's 10 Year,750,,40.0,Bourbon,330.0,1800.0,images/1579.jpg,67.48,96.37,91.49,2206,323,630,1253,172
15989,Maker's Mark 2021 Wood Finishing Series FAE-01,750,111.0,55.5,Bourbon,333.0,200.0,images/15989.jpg,59.57,134.68,69.86,2186,314,631,1241,173
17068,Still Austin Cask Strength Bourbon,750,116.0,58.0,Bourbon,3145.0,100041.0,images/17068.jpg,64.99,73.69,71.0,2173,269,479,1425,174
5131,Jack Daniel's Single Barrel Barrel Proof,375,128.0,64.0,Whiskey,231.0,60.0,images/5131.jpg,33.97,75.34,45.88,2163,159,627,1377,175
19626,Bardstown Origin Series Bottled in Bond,750,100.0,50.0,Bourbon,778.0,100032.0,images/19626.jpg,49.97,69.08,54.05,2125,247,468,1410,176
1419,Isaac Bowman Port Barrel Finish Bourbon,750,92.0,46.0,Bourbon,6683.0,200.0,images/1419.jpg,39.3,60.52,61.79,2118,154,514,1450,177
16161,Blood Oath Pact No. 7,750,98.6,49.3,Whiskey,849.0,1980.0,images/16161.jpg,99.99,251.0,249.99,2085,406,782,897,178
17210,Penelope Toasted Series,750,112.0,56.0,Bourbon,2817.0,200.0,images/17210.jpg,69.97,89.16,94.99,2082,200,447,1435,179
18235,Calumet Farm 16 year Single Rack Black,750,106.0,53.0,Bourbon,769.0,200.0,images/18235.jpg,129.99,167.89,154.49,2072,226,612,1234,180
19720,Green River Wheated Sour Mash,750,90.0,45.0,Bourbon,3445.0,100041.0,images/19720.jpg,35.0,45.61,35.99,2054,204,506,1344,181
17213,Blue Run High Rye Bourbon,750,111.0,55.5,Bourbon,2820.0,1600.0,images/17213.jpg,97.47,140.59,109.99,2048,248,557,1243,182
15965,Penelope Bourbon Four Grain,750,80.0,40.0,Bourbon,2817.0,1120.0,images/15965.jpg,37.47,56.43,38.91,2045,198,511,1336,183
